answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3421,absa_sentiment_3421,absa_scores_3421,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3451,absa_sentiment_3451,absa_scores_3451,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,0.0,-1.0,neutral,"RT @natalieimboden: Wir fordern Marschhalt bei Steuersenkungsstrategie, sonst droht weitere Bruchlandung mit Referendum!  https://t.co/Er4I…",fordern marschhalt steuersenkungsstrategie drohen weit bruchlandung referendum,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Wir': 0.09, 'fordern': 0, 'Marschhalt': 0, 'bei': 0, 'Steuersenkungsstrategie': 0.8375, 'sonst': 0.19, 'droht': 0, 'weitere': 0, 'Bruchlandung': 0.09, 'mit': 0.04, 'Referendum': 0.13}",positive,"[0.10500166, 0.035310924, 0.8596874]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @USR3Bschiss: Fazit der #srfarena: Steuersenkungen für Unternehmen zahlen sich nicht aus! #USR3 https://t.co/jhkC0UF2xH,fazit srfarena steuersenkungen unternehmen zahlen usr3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Fazit': 0.28, 'der': 0.12, 'srfarena': 0.32, 'Steuersenkungen': 0.515, 'für': 0.23, 'Unternehmen': 0, 'zahlen': 0, 'sich': 0, 'nicht': 0.77, 'aus': 0, 'USR3': 0.75}",neutral,"[0.49841964, 0.37928078, 0.12229961]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,RT @ruediloeffel: Das Gegenteil von verantwortungsvoller #Politik: #Steuersenkungen verlangen ohne zu wissen wie finanzieren. https://t.co/…,gegenteil verantwortungsvoll politik steuersenkungen verlangen wissen finanzieren,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Das': 0.07, 'Gegenteil': 0.13, 'von': 0, 'verantwortungsvoller': 0.13, 'Politik': 0, 'Steuersenkungen': 0.76, 'verlangen': 0.565, 'ohne': 0.84, 'zu': 0.13, 'wissen': 0.13, 'wie': 0.12, 'finanzieren': 0.27}",negative,"[0.14957912, 0.81665325, 0.03376762]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,RT @gruenebern: #Steuersenkungen für Unternehmen zwingen zu schmerzhaftem Leistungsabbau für Bevölkerung! https://t.co/EMTFKa87l2 https://t…,steuersenkungen unternehmen zwingen schmerzhaft leistungsabbau bevölkerung,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Steuersenkungen': 0.635, 'für': 0.2, 'Unternehmen': 0, 'zwingen': 1.0, 'zu': 0, 'schmerzhaftem': 1.0, 'Leistungsabbau': 0.2, 'Bevölkerung': 0.2}",negative,"[0.004839299, 0.98111343, 0.014047348]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @UrsulaMarti1: SP will im Kanton Bern Diskussion über Mindestlohn lancieren https://t.co/PuH8Xxscjz @spkantonbern #mindestlohn @spschwei…,sp kanton bern diskussion mindestlohn lancieren mindestlohn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'SP': 0.05, 'will': 0, 'im': 0, 'Kanton': 0.05, 'Bern': 0.07, 'Diskussion': 1.0, 'über': 0, 'Mindestlohn': 0.31, 'lancieren': 0.4, 'mindestlohn': 0.31, '…': 0}",neutral,"[0.94141537, 0.0041097295, 0.054474954]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,100.0,86.0,0.5,neutral,"@gruenebern @DoBuehler @hasimsancar1 @kohler_beat @AndreaDeMeuron @JanRemund @natalieimboden @djklauser @MoussdeWatt @Anna_Linder78 @derbund Schon wieder so ein ""Pionier"" im Kanton Bern: für Klimaschutz! Weil es für die Energiewende hin zu den Erneuerbaren gute Batterien braucht! Ein Grund mehr, um für das Bekenntnis zu Innovations- und Technologieförderung zu stimmen, am 26. September: https://t.co/q1sexaOxv1",schon pionier kanton bern klimaschutz energiewende erneuerbaren gut batterien brauchen grund mehr bekenntnis innovations technologieförderung stimmen september,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Schon': 0, 'wieder': 0, 'so': 0, 'ein': 0.02, 'Pionier': 0.02, 'im': 0, 'Kanton': 0.01, 'Bern': 0.01, 'für': 0.02, 'Klimaschutz': 0.02, 'Weil': 0.03, 'es': 0, 'die': 0.02, 'Energiewende': 0.36, 'hin': 0, 'zu': 0.02, 'den': 0.02, 'Erneuerbaren': 1.0, 'gute': 0, 'Batterien': 0.08, 'braucht': 0, 'Ein': 0, 'Grund': 0, 'mehr': 0.02, 'um': 0, 'das': 0, 'Bekenntnis': 0, 'Innovations-': 0, 'und': 0.03, 'Technologieförderung': 0.04, 'stimmen': 0, 'am': 0, '26.': 0, 'September': 0.02}",positive,"[0.39769566, 0.051763423, 0.5505409]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,Herzliche Gratulation - grüner Sieg im ersten Wahlgang trotz Gegenkandidaten aus den nationalen Regierungsparteien: das muss erst mal jemand nachmachen! Weiterhin viel erneuerbare Energie für die grüne Vorbild-#Energiestadt #Münsingen! @an_wiesmann @GFLZollikofen @gruenebern https://t.co/9gFVjPbBp1,herzlich gratulation grün sieg erst wahlgang trotzen gegenkandidaten national regierungsparteien erst mal jemand nachmachen weiterhin erneuerbare energie grüne vorbild energiestadt münsingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Herzliche': 0, 'Gratulation': 0.18, 'grüner': 0, 'Sieg': 0.15, 'im': 0, 'ersten': 0.09, 'Wahlgang': 0.1, 'trotz': 0.205, 'Gegenkandidaten': 0.14, 'aus': 0, 'den': 0.27, 'nationalen': 0.12, 'Regierungsparteien': 0.15, 'das': 0, 'muss': 0.05, 'erst': 0.09, 'mal': 0, 'jemand': 0.09, 'nachmachen': 0, 'Weiterhin': 0, 'viel': 0.23500000000000001, 'erneuerbare': 1.0, 'Energie': 0.27, 'für': 0.53, 'die': 0.27, 'grüne': 0.15, 'Vorbild-#Energiestadt': 0.14375000000000002, 'Münsingen': 0}",positive,"[0.0014726631, 0.0012164619, 0.9973109]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.9,positive,Hab dich gewählt - genau darum! Gratuliere herzlich und wünsche Viel Elan und erneuerbare Energie! Ist #Publica schon raus aus fossilen Anlagen? @publiceye_ch @KlimaschutzCH @KlimaAllianzCH @GFLBern @GruenesBuendnis @gruenebern @GrueneCH @GrueneParlament https://t.co/nXIUHdz3k7,wählen genau darum gratulieren herzlich wünsche elan erneuerbare energie publica schon raus fossil anlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Hab': 0, 'dich': 0.08, 'gewählt': 0, 'genau': 0, 'darum': 0, 'Gratuliere': 0.18, 'herzlich': 0, 'und': 0.06, 'wünsche': 0, 'Viel': 0, 'Elan': 0, 'erneuerbare': 0.08, 'Energie': 0.07, 'Ist': 1.0, 'Publica': 0, 'schon': 0, 'raus': 0.39, 'aus': 0.39, 'fossilen': 0.12, 'Anlagen': 0}",positive,"[0.16903897, 0.03175007, 0.79921097]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Willkommen bei den Grünen Mittelland-Nord - und weiterhin viel Elan, erneuerbare Energie und Erfolg: in Muri! https://t.co/GRHdN7Q0Ui",willkommen grün mittelland nord weiterhin elan erneuerbare energie erfolg muri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Willkommen': 0.11, 'bei': 0, 'den': 0.04, 'Grünen': 0, 'Mittelland-Nord': 0, 'und': 0.37, 'weiterhin': 0, 'viel': 0.11000000000000001, 'Elan': 0, 'erneuerbare': 1.0, 'Energie': 0.25, 'Erfolg': 0.29, 'in': 0.08, 'Muri': 0.08}",positive,"[0.0009786431, 0.0011366671, 0.9978847]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Herzliche Gratulation an die @gruene_sg und weiterhin viel Elan und erneuerbare Energie im Kanton - und im Nationalrat, @FranziskaRyser ! Bravo @ThomasSchwSG ! https://t.co/wQnfWV5vfo",herzlich gratulation weiterhin elan erneuerbare energie kanton nationalrat bravo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Herzliche': 0, 'Gratulation': 0.21, 'an': 0, 'die': 0.02, 'und': 0.06, 'weiterhin': 0, 'viel': 0.08499999999999999, 'Elan': 0, 'erneuerbare': 1.0, 'Energie': 0.18, 'im': 0, 'Kanton': 0.02, 'Nationalrat': 0.025, 'Bravo': 0.1}",positive,"[0.0010562857, 0.0011683272, 0.9977754]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.9,neutral,"Herzliche Gratulation - und viel erneuerbare Energie, lieber Felix, für die spannende Arbeit im @chparlament ! @GrueneCH @gruene_so https://t.co/WD221DX6a7",herzlich gratulation erneuerbare energie lieb felix spannend arbeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Herzliche': 0, 'Gratulation': 1.0, 'und': 0.43, 'viel': 0, 'erneuerbare': 1.0, 'Energie': 0.36, 'lieber': 0, 'Felix': 0.16, 'für': 0.55, 'die': 0.13, 'spannende': 0.17, 'Arbeit': 0.26, 'im': 0}",positive,"[0.0011488997, 0.0013078339, 0.99754333]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Grüne in @Zollikofen3052 sind bereit fürs TEAM @alinetrede - mit erneuerbarer Energie (Süssmost frisch ab Presse) auch für andere Leute @BrunoVanoni1 @natalieimboden @JanRemund @LisiDubler @LiaZehn (Gotte war schon hier ;-) ) @gruenebern @jungegruenebern beim Coop, bis 15.00 https://t.co/5HzLp4zhDX",grüne bereiten fürs team erneuerbarer energie süssmost frischen ab pressen leute gotte schon beim coop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Grüne': 0, 'in': 0, 'sind': 0.14, 'bereit': 0.21, 'fürs': 0.1, 'TEAM': 0.22, 'mit': 1.0, 'erneuerbarer': 1.0, 'Energie': 0.4, 'Süssmost': 0.06, 'frisch': 0, 'ab': 0, 'Presse': 0, 'auch': 0.17, 'für': 0.1, 'andere': 0, 'Leute': 0.02, 'Gotte': 0, 'war': 0, 'schon': 0, 'hier': 0.01, 'beim': 0.01, 'Coop': 0.01, 'bis': 0.03, '15.00': 0}",positive,"[0.00073117943, 0.0011550231, 0.99811375]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,Herzlichen Dank! Die Wahlempfehlung des @VCSBern - für Mensch und Umwelt - freut auch mich! Sie gibt erneuerbare Energie für meinen Einsatz z.B. für die kantonale Velo-Initiative @provelobern und Klimaschutz-Artikel in der Verfassung @kanton_bern @KlimaschutzCH @verkehrsclub https://t.co/Cep0pPYGae,herzlich danken wahlempfehlung mensch umwelt freuen geben erneuerbare energie einsatz z b kantonale velo initiative klimaschutz artikel verfassung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Herzlichen': 0, 'Dank': 0, 'Die': 0.03, 'Wahlempfehlung': 0, 'des': 0, 'für': 0.09, 'Mensch': 0, 'und': 0.04, 'Umwelt': 0.04, 'freut': 0, 'auch': 0, 'mich': 0.04, 'Sie': 0, 'gibt': 0, 'erneuerbare': 1.0, 'Energie': 0.64, 'meinen': 0, 'Einsatz': 0, 'z.B.': 0, 'die': 0.03, 'kantonale': 0.04, 'Velo-Initiative': 0, 'Klimaschutz-Artikel': 0.035, 'in': 0.03, 'der': 0.03, 'Verfassung': 0.07}",positive,"[0.0006705895, 0.0009630416, 0.9983664]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,Für einmal sind #Grüne als #Rote gut unterwegs - mit erneuerbarer Energie zu Fuss von #Münsingen an die #Fasnacht nach @Bern_Stadt ! @AntonioBauen @gruenebern @grueneschweiz https://t.co/fLj1OcfNVR,grüne rote gut unterwegs erneuerbarer energie fuss münsingen fasnacht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Für': 0.11, 'einmal': 0.29, 'sind': 0.18, 'Grüne': 0, 'als': 0.16, 'Rote': 0, 'gut': 0, 'unterwegs': 0.16, 'mit': 1.0, 'erneuerbarer': 1.0, 'Energie': 0.26, 'zu': 0.04, 'Fuss': 0, 'von': 0.23, 'Münsingen': 0, 'an': 0, 'die': 0, 'Fasnacht': 0, 'nach': 0}",positive,"[0.004975167, 0.0029996715, 0.99202514]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Erneuerbare Energie: 4,6 Millionen als Anreiz für Private https://t.co/E3jmgvhkC4 via @BernerZeitung",erneuerbare energie millionen anreiz privat via,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Erneuerbare': 0.72, 'Energie': 0.41, '4,6': 0, 'Millionen': 0, 'als': 0.26, 'Anreiz': 0, 'für': 0.1, 'Private': 0.08, 'via': 0.13}",positive,"[0.090556316, 0.018732335, 0.8907113]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,@gruenebern @AndreaDeMeuron Herzliche Gratulation auch meinerseits - und weiterhin viel erneuerbare Energie für grüne (Bildungs- und Kultur-)Politik!,herzlich gratulation meinerseits weiterhin erneuerbare energie grüne bildungs kultur politik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Herzliche': 0, 'Gratulation': 0.13, 'auch': 0, 'meinerseits': 0.065, 'und': 0.08, 'weiterhin': 0, 'viel': 0.115, 'erneuerbare': 1.0, 'Energie': 1.0, 'für': 0.32, 'grüne': 0.24, 'Bildungs-': 0.18, 'Kultur-)Politik': 0.23}",positive,"[0.005676045, 0.0023542724, 0.99196965]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @natalieimboden: Startklar für erneuerbare Energien @ES2050_JA am @gpbern Bern. Wir verteilen erneuerbare Energie / Traubenzucker. Alle…,startklar erneuerbare energien bern verteilen erneuerbare energie traubenzucker all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Startklar': 1.0, 'für': 0.91, 'erneuerbare': 0.14, 'Energien': 0.39, 'am': 0, 'Bern': 0.25, 'Wir': 0.18, 'verteilen': 0.2, 'Energie': 0.16, 'Traubenzucker': 0.2, 'Alle': 0.11, '…': 0}",positive,"[0.008096259, 0.0027482605, 0.9891555]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @pronaturach: Es ist knapp – jede Stimme zählt! Sag auch Du jetzt JA – zu effizienter, einheimischer und erneuerbarer #energie #es2050 h…",knapp jed stimme zählen sag ja effizient einheimisch erneuerbarer energie es2050 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Es': 0, 'ist': 0, 'knapp': 0, '–': 0, 'jede': 0, 'Stimme': 0, 'zählt': 0, 'Sag': 0, 'auch': 0, 'Du': 0, 'jetzt': 0, 'JA': 0, 'zu': 0, 'effizienter': 0, 'einheimischer': 0, 'und': 0, 'erneuerbarer': 0, 'energie': 0, 'es2050': 0, 'h': 0, '…': 0}",positive,"[0.00075016933, 0.00096711534, 0.9982828]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @WWF_Schweiz: Heyhey auch die Bauern sind dabei! @chbauernverband sagt Ja zur Energiestrategie 2050! #ES2050 #Erneuerbare https://t.co/6…,heyhey bauern dabei sagen ja energiestrategie es2050 erneuerbare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Heyhey': 0.11, 'auch': 0, 'die': 0.1, 'Bauern': 0.09, 'sind': 0.04, 'dabei': 0, 'sagt': 0.05, 'Ja': 0, 'zur': 0.07500000000000001, 'Energiestrategie': 0.155, '2050': 0, 'ES2050': 0.3, 'Erneuerbare': 0}",positive,"[0.28957683, 0.020712484, 0.6897107]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @srfnews: Erneuerbare Energie auf dem Vormarsch: #Indien könnte ab 2050 alle #Kohlekraftwerke abstellen. https://t.co/nHAizRrlys ^sw,erneuerbare energie vormarsch indien ab all kohlekraftwerke abstellen sw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Erneuerbare': 1.0, 'Energie': 0.56, 'auf': 0.49, 'dem': 0.13, 'Vormarsch': 0.47, 'Indien': 0.13, 'könnte': 0.23, 'ab': 0, '2050': 0, 'alle': 0, 'Kohlekraftwerke': 0.055, 'abstellen': 0.06, '^sw': 0}",positive,"[0.28307238, 0.044987246, 0.6719404]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,RT @swissolar_d: Die #ES2050 ist ein ausgewogenes Paket zum Ausbau der erneuerbaren Energien und zum Schutz der Wasserkraft. https://t.co/E…,es2050 ausgewogen paket ausbau erneuerbaren energien schutz wasserkraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Die': 0.2, 'ES2050': 0.34, 'ist': 0.24, 'ein': 0, 'ausgewogenes': 0.73, 'Paket': 0.73, 'zum': 0.2, 'Ausbau': 1.0, 'der': 0.2, 'erneuerbaren': 1.0, 'Energien': 0.69, 'und': 0.55, 'Schutz': 0.42, 'Wasserkraft': 0.47}",positive,"[0.0022616826, 0.0015728201, 0.9961655]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"@nicolissa @GruenesBuendnis wer duscht denn in diesen kalten Tagen nicht gern warm? Natürlich grün, mit erneuerbarer Energie! @gruenebern",wer duschen kalten tagen gern warm natürlich grün erneuerbarer energie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'wer': 0.07, 'duscht': 0.08, 'denn': 0, 'in': 0, 'diesen': 0, 'kalten': 0.04, 'Tagen': 0.04, 'nicht': 0, 'gern': 0, 'warm': 0.04, 'Natürlich': 0.52, 'grün': 0.34, 'mit': 1.0, 'erneuerbarer': 1.0, 'Energie': 0.45}",positive,"[0.0009270052, 0.0010498186, 0.99802315]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @buercher: Um die Erneuerbaren Energien zu fördern, müssen die konventionellen heruntergefahren werden.  https://t.co/f5rsbVLIqt",erneuerbaren energien fördern müssen konventionell heruntergefahren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Um': 0, 'die': 0, 'Erneuerbaren': 0, 'Energien': 0.68, 'zu': 0.48, 'fördern': 0, 'müssen': 0.48, 'konventionellen': 0.24, 'heruntergefahren': 0.195, 'werden': 0}",positive,"[0.08105022, 0.029690119, 0.8892597]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @KasparSchuler: Erneuerbare Energie in der Schweiz: Höchster Windpark Europas auf dem Nufenenpass eingeweiht. https://t.co/zTtIH5h6xx,erneuerbare energie schweiz hoch windpark europas nufenenpass einweihen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Erneuerbare': 0.68, 'Energie': 0.38, 'in': 0.38, 'der': 0.07, 'Schweiz': 0.3, 'Höchster': 0.24, 'Windpark': 0.095, 'Europas': 0.1, 'auf': 0.07, 'dem': 0.07, 'Nufenenpass': 0, 'eingeweiht': 0.32}",positive,"[0.005944263, 0.003884467, 0.99017125]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @simon_m_heller: ""Wir denken #Grün und nicht Schwarz / Weiss"" @RegulaRytz #SwissECS #ErneuerbareEnergie https://t.co/JVhLrZKMmF",denken grün schwarz weiss swissecs erneuerbareenergie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Wir': 0.06, 'denken': 0.08, 'Grün': 0.07, 'und': 0.06, 'nicht': 0.13, 'Schwarz': 0, 'Weiss': 0, 'SwissECS': 0.54, 'ErneuerbareEnergie': 0.8}",positive,"[0.15137073, 0.014597932, 0.83403134]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @KasparSchuler: Auch das WEF hat's erkannt: Immer mehr Länder setzen auf erneuerbare Energien. 2015 war einRekordjahr.  https://t.co/3E5…,wef s erkennen immer mehr länder setzen erneuerbare energien einrekordjahr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Auch': 0.09, 'das': 0, 'WEF': 0.1, ""hat's"": 0, 'erkannt': 0.27, 'Immer': 0, 'mehr': 0.25, 'Länder': 0.6, 'setzen': 0, 'auf': 0.82, 'erneuerbare': 1.0, 'Energien': 0.41, '2015': 0, 'war': 0, 'einRekordjahr': 0.075}",positive,"[0.15506008, 0.025525266, 0.8194146]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,positive,@StephaniePenher @verkehrsclub @eviallemann Gratuliere herzlich und wünsche viel erneuerbare Energie und Erfolg!,gratulieren herzlich wünsche erneuerbare energie erfolg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Gratuliere': 0.68, 'herzlich': 0, 'und': 0.58, 'wünsche': 0, 'viel': 0, 'erneuerbare': 1.0, 'Energie': 1.0, 'Erfolg': 0.58}",positive,"[0.0013226127, 0.0011386434, 0.9975388]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,positive,@gruenebern @SavMichel @JanRemund @natalieimboden Guten Start - und dann viel erneuerbare Energie!,gut start erneuerbare energie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Guten': 0.17, 'Start': 0.14, 'und': 0.21, 'dann': 0.2, 'viel': 0.2, 'erneuerbare': 1.0, 'Energie': 0.32}",positive,"[0.0016253977, 0.0010246295, 0.99735]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,71.0,0.15,neutral,"Unglaublich, was wir uns (weiterhin) leisten können: 2 zusätzliche Fahrspuren für 16 km Grauholz-Autobahn und dazu ein Ausbau des Wankdorf-Anschlusses für insgesamt 664 Millionen Franken. https://t.co/64nPcVTHab Dürfen wir uns das wirklich leisten? @Spurwechsel_BE sagt NEIN.",unglaublich weiterhin leisten zusätzliche fahrspuren km grauholz autobahn ausbau wankdorf anschlusses insgesamt millionen franken dürfen wirklich leisten sagen nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Unglaublich': 0.1, 'was': 0, 'wir': 0, 'uns': 0, 'weiterhin': 0, 'leisten': 0.12, 'können': 0, '2': 0, 'zusätzliche': 0.02, 'Fahrspuren': 0.04, 'für': 0.02, '16': 0, 'km': 0.03, 'Grauholz-Autobahn': 0.065, 'und': 0.03, 'dazu': 0, 'ein': 0, 'Ausbau': 0.04, 'des': 0, 'Wankdorf-Anschlusses': 0.05500000000000001, 'insgesamt': 0, '664': 0, 'Millionen': 0, 'Franken': 0, 'Dürfen': 0, 'das': 0, 'wirklich': 0.1, 'sagt': 1.0, 'NEIN': 1.0}",negative,"[0.23071931, 0.71723175, 0.052048907]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @FelixWettstein: #Bauernverband #Solothurn: Es gibt keinen flächensparenden Autobahnausbau auf 6 Spuren. Entweder  Landverlust oder die…,bauernverband solothurn geben flächensparenden autobahnausbau spuren entweder landverlust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Bauernverband': 0, 'Solothurn': 0.15, 'Es': 0.43, 'gibt': 0, 'keinen': 0, 'flächensparenden': 0, 'Autobahnausbau': 0.86, 'auf': 0, '6': 0, 'Spuren': 0, 'Entweder': 0.09, 'Landverlust': 0.09000000000000001, 'oder': 0.05, 'die': 0.04, '…': 0}",negative,"[0.07419178, 0.8738411, 0.051967196]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Gemostet mit der Mostpresse der GFL @Zollikofen3052 - als Beitrag an den Kampf gegen den Ausbau der Grauholz-Autobahn auf 8 Spuren und neuen Halbanschluss Grauholz https://t.co/xZIljOsLHi,gemostet mostpresse gfl beitrag kampf ausbau grauholz autobahn spuren neu halbanschluss grauholz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Gemostet': 0, 'mit': 1.0, 'der': 0.07, 'Mostpresse': 0, 'GFL': 0.21, 'als': 0.24, 'Beitrag': 0.37, 'an': 0, 'den': 0.07, 'Kampf': 0, 'gegen': 0.17, 'Ausbau': 0.15, 'Grauholz-Autobahn': 0.21, 'auf': 0, '8': 0, 'Spuren': 0, 'und': 0.15, 'neuen': 0.11, 'Halbanschluss': 0, 'Grauholz': 0.21}",positive,"[0.2191442, 0.30691043, 0.4739454]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @GrueneCH: Keine Kriegsmaterial-Exporte mehr für Saudi-Arabien! An Kriegsgeld klebt Blut...
https://t.co/troTyAXq3F https://t.co/MdmAFbY…",kriegsmaterial exporte mehr saudi arabien kriegsgeld kleben blut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Keine': 0, 'Kriegsmaterial-Exporte': 0.2525, 'mehr': 1.0, 'für': 0.18, 'Saudi-Arabien': 0.09, 'An': 0, 'Kriegsgeld': 0.08, 'klebt': 0.1, 'Blut': 0.07, '...': 0}",positive,"[0.014953909, 0.0024511819, 0.98259485]",,,,,,,,,,,,,,,,,,,,,,neutral
